dataset,ambiguity_level,heuristic_uncertainty_topk_delta,calibrated_uncertainty_topk_delta,fixed_calibration_topk_delta,uncertainty_calibration_topk_delta,combined_topk_delta,combined_nll_delta,combined_ece_delta
omniglot_character_crops,0.0,0.17128773875539124,0.22027110289587185,0.1062846580406654,0.15526802218114605,0.32655576093653726,-5.409584213586172,-0.43335338578358923
omniglot_character_crops,0.15,0.019408502772643253,0.029112754158964877,0.004518381597864037,0.014222632984185664,0.03363113575682892,-0.5354683042987697,-0.4439742185334789
omniglot_character_crops,0.3,0.011295953994660095,0.017457383446292874,0.005750667488190593,0.011912096939823374,0.023208050934483467,-0.36693968874833277,-0.40434265396968483
omniglot_character_crops,0.45,0.009396179913739986,0.012117477921544465,0.0037995481618402134,0.006520846169644691,0.01591702608338468,-0.2463547769253367,-0.3548309486985051
sklearn_digits_crops,0.0,0.11670020120724345,0.05432595573440646,0.06438631790744465,0.002012072434607659,0.11871227364185111,-2.0354888083317335,-0.04862462279607906
sklearn_digits_crops,0.15,0.5352112676056339,0.49094567404426553,-0.24279007377598927,-0.2870556673373575,0.24815560026827635,0.433901900207142,0.20307914689428794
sklearn_digits_crops,0.3,0.6465459423205902,0.46814218645204564,-0.10596914822266935,-0.2843729040912139,0.36217303822937624,-1.102870221393994,0.08663033763098271
sklearn_digits_crops,0.45,0.596914822266935,0.45003353454057676,-0.04091213950368879,-0.18779342723004697,0.409121395036888,-1.732024515729215,0.02921574887218718
kuzushiji49_balanced_crops,0.0,0.23918367346938774,0.22122448979591836,0.1518367346938776,0.13387755102040821,0.37306122448979595,-6.2222307152460345,-0.18201041780431831
kuzushiji49_balanced_crops,0.45,0.26761904761904765,0.251156462585034,0.01768707482993198,0.001224489795918382,0.268843537414966,-4.252231022955652,-0.16812249773074248
