analysis_scope,feature,threshold,threshold_min,threshold_max,low_rate,high_rate,gap,direction,direction_stability,low_count,high_count
all_rows,ambiguity_level,0.3,0.3,0.3,0.06944444444444445,0.08333333333333333,0.013888888888888881,higher_is_better,1.0,288,288
all_rows,grouped_topk_delta,1.0,1.0,1.0,0.01652892561983471,0.391304347826087,0.37477542220625226,higher_is_better,1.0,484,92
all_rows,mean_confusion_entropy,1.27718586116247,1.27718586116247,1.27718586116247,0.0693950177935943,0.35714285714285715,0.28774783934926285,higher_is_better,1.0,562,14
all_rows,mean_confusion_entropy_for_grouped_rescue,1.7651651307798328,1.7651651307798328,1.7651651307798328,0.05760188087774295,0.0,0.05760188087774295,lower_is_better,1.0,5104,80
all_rows,prediction_set_avg_size,4.0,4.0,4.0,0.06538461538461539,0.17857142857142858,0.11318681318681319,higher_is_better,1.0,520,56
all_rows,real_downstream_bank_coverage,1.0,1.0,1.0,0.21875,0.04791666666666667,0.17083333333333334,lower_is_better,1.0,96,480
posterior=calibrated_classifier,ambiguity_level,0.45,0.45,0.45,0.032407407407407406,0.013888888888888888,0.018518518518518517,lower_is_better,1.0,216,72
posterior=calibrated_classifier,grouped_topk_delta,1.0,1.0,1.0,0.015209125475285171,0.16,0.14479087452471484,higher_is_better,1.0,263,25
posterior=calibrated_classifier,mean_confusion_entropy,1.025508268588062,1.025508268588062,1.025508268588062,0.025179856115107913,0.1,0.0748201438848921,higher_is_better,1.0,278,10
posterior=calibrated_classifier,mean_confusion_entropy_for_grouped_rescue,0.9524790664797393,0.9524790664797393,0.9524790664797393,0.046948356807511735,0.19444444444444445,0.14749608763693273,higher_is_better,1.0,2556,36
posterior=calibrated_classifier,prediction_set_avg_size,3.75,3.75,3.75,0.02527075812274368,0.09090909090909091,0.06563833278634723,higher_is_better,1.0,277,11
posterior=calibrated_classifier,real_downstream_bank_coverage,1.0,1.0,1.0,0.10416666666666667,0.0125,0.09166666666666667,lower_is_better,1.0,48,240
posterior=cluster_distance,ambiguity_level,0.15,0.15,0.15,0.1388888888888889,0.12037037037037036,0.01851851851851853,lower_is_better,1.0,72,216
posterior=cluster_distance,grouped_topk_delta,1.0,1.0,1.0,0.01809954751131222,0.47761194029850745,0.45951239278719525,higher_is_better,1.0,221,67
posterior=cluster_distance,mean_confusion_entropy,1.2871506520498615,1.2871506520498615,1.2871506520498615,0.11552346570397112,0.36363636363636365,0.24811289793239252,higher_is_better,1.0,277,11
posterior=cluster_distance,mean_confusion_entropy_for_grouped_rescue,0.11462905694889869,0.11462905694889869,0.11462905694889869,0.18382352941176472,0.05781758957654723,0.1260059398352175,lower_is_better,1.0,136,2456
posterior=cluster_distance,prediction_set_avg_size,1.2,1.2,1.2,0.3018867924528302,0.0851063829787234,0.21678040947410676,lower_is_better,1.0,53,235
posterior=cluster_distance,real_downstream_bank_coverage,1.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.25,lower_is_better,1.0,48,240
across_scopes,ambiguity_level,0.3,0.15,0.45,0.08024691358024692,0.07253086419753087,0.01697530864197531,lower_is_better,0.6666666666666666,192,192
across_scopes,grouped_topk_delta,1.0,1.0,1.0,0.0166125328688107,0.34297209604153145,0.3263595631727208,higher_is_better,1.0,322,61
across_scopes,mean_confusion_entropy,1.1966149272667979,1.025508268588062,1.2871506520498615,0.07003277987089111,0.27359307359307355,0.2035602937221825,higher_is_better,1.0,372,11
across_scopes,mean_confusion_entropy_for_grouped_rescue,0.944091084736157,0.11462905694889869,1.7651651307798328,0.0961245890323398,0.0840873446736639,0.1103679694499644,lower_is_better,0.6666666666666666,2598,857
across_scopes,prediction_set_avg_size,2.983333333333333,1.2,4.0,0.1308473886533964,0.11819563415308094,0.1318685184824224,higher_is_better,0.6666666666666666,283,100
across_scopes,real_downstream_bank_coverage,1.0,1.0,1.0,0.21874999999999997,0.04791666666666667,0.1708333333333333,lower_is_better,1.0,64,320
