dataset,task_name,posterior_strategy_requested,case_type,ambiguity_level,count
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,conformal_over_pruning,0.0,3
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,conformal_over_pruning,0.15,4
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,conformal_over_pruning,0.3,4
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,conformal_over_pruning,0.45,3
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,decoder_trapped_by_transition_prior,0.0,5
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,decoder_trapped_by_transition_prior,0.15,4
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,decoder_trapped_by_transition_prior,0.3,3
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,decoder_trapped_by_transition_prior,0.45,5
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,high_ambiguity_diffuse_uncertainty,0.45,11
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_crf_not_conformal,0.0,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_crf_not_conformal,0.15,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_crf_not_conformal,0.3,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_crf_not_conformal,0.45,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_trigram_not_conformal,0.0,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_trigram_not_conformal,0.15,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_trigram_not_conformal,0.3,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_trigram_not_conformal,0.45,1
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_uncertainty_beam,0.0,3
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_uncertainty_beam,0.15,4
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_uncertainty_beam,0.3,4
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_only_uncertainty_beam,0.45,3
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_uncertainty_beam,0.0,6
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_uncertainty_beam,0.15,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_uncertainty_beam,0.3,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,sequence_rescue_uncertainty_beam,0.45,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,symbol_rescue_without_sequence_rescue,0.0,9
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,symbol_rescue_without_sequence_rescue,0.15,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,symbol_rescue_without_sequence_rescue,0.3,8
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,symbol_rescue_without_sequence_rescue,0.45,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,trigram_amplifies_bad_prior,0.0,7
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,trigram_amplifies_bad_prior,0.15,9
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,trigram_amplifies_bad_prior,0.3,8
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,trigram_amplifies_bad_prior,0.45,9
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,conformal_over_expansion,0.0,7
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,conformal_over_expansion,0.15,13
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,conformal_over_expansion,0.3,2
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,conformal_over_pruning,0.45,1
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,decoder_trapped_by_transition_prior,0.0,3
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,decoder_trapped_by_transition_prior,0.15,4
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,decoder_trapped_by_transition_prior,0.3,4
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,decoder_trapped_by_transition_prior,0.45,1
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,high_ambiguity_diffuse_uncertainty,0.45,9
